//X Y Z R G B
-22.41589165 9.60112381 -2.47733092 170 0 0
-22.32916832 9.60050106 -2.50729895 170 0 0
-22.33861351 9.65450954 -2.48639011 170 0 0
-22.31426620 9.64386940 -2.50117993 170 0 0
-22.38729668 9.58872318 -2.49528599 170 0 0
-22.38233757 9.63762856 -2.47617197 170 0 0
-22.17740440 9.78172207 -2.49535298 170 0 0
-22.40108871 9.60736084 -2.47985601 170 0 0
-22.42803574 9.61901760 -2.46893096 170 0 0
-22.20403671 9.81826401 -2.48568511 170 0 0
-22.42363167 9.60234356 -2.47747898 170 0 0
-22.40942383 9.68534660 -2.45912004 170 0 0
-22.38737869 9.81225872 -2.46754408 170 0 0
-22.34686470 9.80688095 -2.47151089 170 0 0
-22.34418869 9.63193512 -2.49313307 170 0 0
-22.35886765 9.83703423 -2.47069693 170 0 0
-22.12454605 9.70612144 -2.50905609 170 0 0
-22.29490662 9.85176373 -2.47675109 170 0 0
-22.34126282 9.61835861 -2.50112104 170 0 0
-22.24257660 9.71104813 -2.50060010 170 0 0
-22.13136482 9.76133633 -2.50268412 170 0 0
-22.35600281 9.62477207 -2.49393392 170 0 0
-22.43259811 9.77187061 -2.46209192 170 0 0
-22.36370659 9.80185223 -2.47014093 170 0 0
-22.36181831 9.88823986 -2.47000504 170 0 0
-22.42316437 9.79585743 -2.46271706 170 0 0
-22.19378090 9.72089386 -2.50550008 170 0 0
-22.28492355 9.64328003 -2.50548601 170 0 0
-22.46054077 9.84445477 -2.45659804 170 0 0
-22.28740883 9.60725975 -2.51513195 170 0 0
-22.28219032 9.84063625 -2.47808003 170 0 0
-22.29783630 9.68604279 -2.49079609 170 0 0
-22.14981270 9.68336964 -2.51265597 170 0 0
-22.36285973 9.56562710 -2.51173902 170 0 0
-22.27502251 9.87474346 -2.47745204 170 0 0
-22.23489761 9.82303047 -2.48094511 170 0 0
-22.29482269 9.88353729 -2.47621202 170 0 0
-22.35917091 9.58918285 -2.50516295 170 0 0
-22.41035652 9.73521709 -2.45951009 170 0 0
-22.19349670 9.81357098 -2.48812509 170 0 0
-22.25111580 9.72500038 -2.49375296 170 0 0
-22.41151428 9.79831886 -2.46256804 170 0 0
-22.37509918 9.88047791 -2.47107196 170 0 0
-22.44316673 9.62237835 -2.46303701 170 0 0
-22.31172180 9.75452805 -2.47606897 170 0 0
-22.25380516 9.69140625 -2.50234604 170 0 0
-22.26275635 9.74517155 -2.48320293 170 0 0
-22.18512154 9.71097565 -2.50614405 170 0 0
-22.29705048 9.75505257 -2.47982311 170 0 0
-22.40329552 9.61453724 -2.47746611 170 0 0
-22.35465240 9.63649559 -2.48723888 170 0 0
-22.25210381 9.78165913 -2.48338199 170 0 0
-22.32294846 9.62409019 -2.50560188 170 0 0
-22.32918549 9.89881897 -2.47285390 170 0 0
-22.32992363 9.65072060 -2.49060798 170 0 0
-22.37348366 9.58273983 -2.50429797 170 0 0
-22.38279533 9.77261162 -2.46526909 170 0 0
-22.42443085 9.79085636 -2.46103311 170 0 0
-22.41194534 9.59939861 -2.48050809 170 0 0
-22.37710190 9.59695625 -2.49474406 170 0 0
-22.24667168 9.78668594 -2.48088789 170 0 0
-22.26254272 9.62140083 -2.51135612 170 0 0
-22.22399712 9.74061966 -2.49664807 170 0 0
-22.34118843 9.86677074 -2.47240710 170 0 0
-22.46256638 9.78225040 -2.45550108 170 0 0
-22.42227364 9.59129143 -2.48133707 170 0 0
-22.44404984 9.72444057 -2.45525694 170 0 0
-22.41398811 9.71136761 -2.45877790 170 0 0
-22.20452690 9.68254471 -2.50650811 170 0 0
-22.38141632 9.80152130 -2.46890402 170 0 0
-22.24016571 9.69811630 -2.50525188 170 0 0
-22.40703583 9.86222076 -2.46918893 170 0 0
-22.40764618 9.82117367 -2.46456289 170 0 0
-22.32437515 9.75806904 -2.47470498 170 0 0
-22.23202515 9.81841755 -2.48285890 170 0 0
-22.11049461 9.71493244 -2.50805998 170 0 0
-22.44910812 9.89558697 -2.46382499 170 0 0
-22.27339172 9.61385536 -2.51187301 170 0 0
-22.30777931 9.64105034 -2.50225306 170 0 0
-22.32731438 9.58761024 -2.51219296 170 0 0
-22.37301445 9.70662594 -2.46873403 170 0 0
-22.28735924 9.90496254 -2.47721195 170 0 0
-22.23189163 9.65721703 -2.51004004 170 0 0
-22.35583496 9.75846481 -2.47091699 170 0 0
-22.35439682 9.58547878 -2.50763893 170 0 0
-22.36579514 9.76515675 -2.46868992 170 0 0
-22.43673897 9.63335800 -2.46252489 170 0 0
-22.26242828 9.67054844 -2.50456905 170 0 0
-22.31203270 9.66736221 -2.49132609 170 0 0
-22.24412155 9.76161575 -2.48623896 170 0 0
-22.39372444 9.70253754 -2.46361899 170 0 0
-22.36623764 9.71595287 -2.46858597 170 0 0
-22.32818413 9.67440987 -2.48608589 170 0 0
-22.24918938 9.62771893 -2.51554394 170 0 0
-22.30822182 9.72802639 -2.47931409 170 0 0
-22.29386520 9.89556885 -2.47630000 170 0 0
-22.37122726 9.88008595 -2.46873903 170 0 0
-22.37260818 9.67155838 -2.47093701 170 0 0
-22.29996490 9.65696812 -2.50029993 170 0 0
-22.31070709 9.65452003 -2.49592590 170 0 0
-22.38362885 9.62413311 -2.48180699 170 0 0
-22.32011032 9.74512863 -2.47584105 170 0 0
-22.33680916 9.70310402 -2.47589493 170 0 0
-22.35104561 9.60995674 -2.50261998 170 0 0
-22.30620956 9.84521961 -2.47694302 170 0 0
-22.21498299 9.71197319 -2.50400400 170 0 0
-22.35547829 9.69898510 -2.47194195 170 0 0
-22.43131065 9.74263668 -2.45590091 170 0 0
-22.18815041 9.72030258 -2.50544405 170 0 0
-22.23713875 9.75853634 -2.48730397 170 0 0
-22.24594307 9.72558975 -2.49510098 170 0 0
-22.24366379 9.69089508 -2.50564504 170 0 0
-22.28623009 9.68095207 -2.49671292 170 0 0
-22.25141716 9.66726685 -2.50760508 170 0 0
-22.38190651 9.61127090 -2.48648691 170 0 0
-22.35432243 9.83412361 -2.47066402 170 0 0
-22.39393806 9.81071281 -2.46607900 170 0 0
-22.30789757 9.67819405 -2.48945594 170 0 0
-22.31170654 9.59292698 -2.51419997 170 0 0
-22.24281311 9.69928837 -2.50377893 170 0 0
-22.45770454 9.77593136 -2.45655107 170 0 0
-22.44144821 9.68641758 -2.45359206 170 0 0
-22.46755219 9.79727364 -2.45698404 170 0 0
-22.35124016 9.82112789 -2.47179198 170 0 0
-22.24304581 9.74905109 -2.48656011 170 0 0
-22.32733917 9.78588200 -2.47140598 170 0 0
-22.42804718 9.67767143 -2.45652008 170 0 0
-22.39714050 9.63002586 -2.47102594 170 0 0
-22.40268707 9.73186779 -2.46046591 170 0 0
-22.25131416 9.78957176 -2.48141789 170 0 0
-22.36750984 9.65549278 -2.47625709 170 0 0
-22.25324631 9.83773136 -2.48219609 170 0 0
-22.38113976 9.78189754 -2.46805692 170 0 0
-22.37691307 9.73339462 -2.46539688 170 0 0
-22.14367676 9.75483418 -2.50386596 170 0 0
-22.41200829 9.67366219 -2.45717692 170 0 0
-22.27005005 9.65601826 -2.50725102 170 0 0
-22.29484177 9.73404789 -2.48010206 170 0 0
-22.46000290 9.76966476 -2.45557404 170 0 0
-22.34184265 9.66148472 -2.48469591 170 0 0
