//X Y Z R G B
-23.06987953 9.56557274 -2.24754810 170 0 0
-23.09037399 9.39046669 -2.30499005 170 0 0
-23.08112335 9.39579201 -2.29660606 170 0 0
-23.03885078 9.52193928 -2.33037400 170 0 0
-23.27915192 9.69221592 -2.36193490 170 0 0
-23.25957870 9.64933014 -2.35629797 170 0 0
-22.99600029 9.60628414 -2.34546804 170 0 0
-23.05218506 9.57476807 -2.30784202 170 0 0
-22.99509430 9.55946636 -2.34994793 170 0 0
-23.00560379 9.46297646 -2.37405205 170 0 0
-23.16737938 9.71997166 -2.30049896 170 0 0
-23.00569534 9.56039906 -2.33761907 170 0 0
-23.10056496 9.66823959 -2.32733488 170 0 0
-23.11967850 9.45504665 -2.25094295 170 0 0
-22.93239212 9.52044010 -2.37800503 170 0 0
-23.15878677 9.58964634 -2.23220897 170 0 0
-23.10146523 9.54699421 -2.28672409 170 0 0
-23.03852272 9.54173565 -2.33764100 170 0 0
-23.09354401 9.65213013 -2.29645896 170 0 0
-23.08279037 9.60281563 -2.27701592 170 0 0
-23.06217003 9.46119595 -2.29031491 170 0 0
-23.09884644 9.47669125 -2.22918010 170 0 0
-23.05701256 9.63600063 -2.30376291 170 0 0
-23.06924629 9.37629414 -2.35705495 170 0 0
-23.01803780 9.45611858 -2.24203992 170 0 0
-23.16232872 9.59105968 -2.24021101 170 0 0
-22.99713707 9.47192097 -2.35241795 170 0 0
-23.04183578 9.49049377 -2.27130294 170 0 0
-22.94893074 9.52732182 -2.37649393 170 0 0
-23.05636978 9.57226753 -2.33838511 170 0 0
-23.10999489 9.69428062 -2.35978293 170 0 0
-23.05092430 9.65785027 -2.38493800 170 0 0
-23.16478157 9.63280201 -2.32021093 170 0 0
-23.19209671 9.47293091 -2.22864699 170 0 0
-23.24157333 9.65198994 -2.28371906 170 0 0
-23.04816437 9.61721802 -2.34360003 170 0 0
-23.07006645 9.61594105 -2.24864507 170 0 0
-23.12752724 9.46298313 -2.26616693 170 0 0
-23.15007782 9.45973682 -2.27916098 170 0 0
-23.03720474 9.57926178 -2.32787704 170 0 0
-23.01467514 9.52966881 -2.33328390 170 0 0
-22.96008301 9.58241844 -2.32757211 170 0 0
-23.19000053 9.50471401 -2.31742692 170 0 0
-23.08343315 9.69812298 -2.35784888 170 0 0
-23.04344177 9.66650009 -2.32032990 170 0 0
-23.14973831 9.58325386 -2.26076102 170 0 0
-23.00659180 9.43819141 -2.31459904 170 0 0
-23.02708626 9.66123676 -2.33441997 170 0 0
-23.04055786 9.41927624 -2.32839704 170 0 0
-23.01471710 9.63577747 -2.38206100 170 0 0
-23.13796234 9.45075893 -2.26651692 170 0 0
-23.13773918 9.46705532 -2.28118205 170 0 0
-23.04625893 9.66901970 -2.37386489 170 0 0
-23.05487823 9.49204254 -2.29077196 170 0 0
-22.98707008 9.59145069 -2.34525800 170 0 0
-23.05213356 9.40715313 -2.30670595 170 0 0
-23.02238274 9.45763779 -2.33677101 170 0 0
-23.05029106 9.61617756 -2.28859997 170 0 0
-23.06639481 9.62726879 -2.26883411 170 0 0
-23.08930016 9.62371063 -2.28618693 170 0 0
-23.01850510 9.65772438 -2.32067108 170 0 0
-23.06572151 9.38736153 -2.32449007 170 0 0
-23.06364250 9.44909954 -2.29950404 170 0 0
-23.14463043 9.68508720 -2.30949712 170 0 0
-22.99023628 9.56902218 -2.37263989 170 0 0
-23.13293648 9.44752979 -2.23379707 170 0 0
-23.02274513 9.41971207 -2.36887789 170 0 0
-23.04261589 9.42808723 -2.33671689 170 0 0
-23.14301872 9.68555069 -2.33212399 170 0 0
-23.05406380 9.47127628 -2.25018597 170 0 0
-23.12456894 9.68941593 -2.29053211 170 0 0
-23.09907913 9.36231709 -2.34623504 170 0 0
-23.02668381 9.38363838 -2.35365391 170 0 0
-23.01609612 9.49398708 -2.35367107 170 0 0
-23.05795860 9.53516483 -2.35020494 170 0 0
-23.10800552 9.48268032 -2.28228402 170 0 0
-23.08788681 9.61043453 -2.29470301 170 0 0
-22.94670868 9.39173985 -2.37254810 170 0 0
-23.03279686 9.37364864 -2.36668205 170 0 0
-23.02521515 9.48365593 -2.32958007 170 0 0
-23.07057953 9.38918114 -2.34762502 170 0 0
-22.98626518 9.53034687 -2.31889105 170 0 0
-22.99737358 9.60549355 -2.36597991 170 0 0
-23.06612206 9.51295853 -2.31165791 170 0 0
-23.06183052 9.43610573 -2.31627297 170 0 0
-23.15425491 9.52459717 -2.25670600 170 0 0
-22.98006248 9.44053841 -2.23521399 170 0 0
-23.04249001 9.63034725 -2.24182892 170 0 0
